TYPEDEVEILLE	THEMATIQUE	SECTION	DOMAINE	SOUSDOMAINE	Enrichment_GPT_Matching_Themes
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique central	Attributions	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique central	Composition	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique central	Election	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique central	Durée et fin du mandat	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique central	Fonctionnement	
Relations collectives de travail	Comité social et économique (CSE)	Entreprises ayant au moins 2 établissements	Comité social économique d'établissement		
Relations collectives de travail	Comité social et économique (CSE)	Conseil d'entreprise			
Relations collectives de travail	Comité social et économique (CSE)	Dispositions pénales			
Relations collectives de travail	Comité social et économique (CSE)	Comités sociaux de la fonction publique	Comité social territorial		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Représentation et information des salariés	Participation aux assemblées générales des actionnaires de la société	
Relations collectives de travail	Dividendes du travail	Dispositions communes	Représentation et information des salariés	Formation économique, financière et juridique des représentants des salariés	
Relations collectives de travail	Dividendes du travail	Dispositions communes	Représentation et information des salariés	Information des représentants du personnel	
Relations collectives de travail	Dividendes du travail	Dispositions communes	Représentation et information des salariés	Information des salariés	
Relations collectives de travail	Dividendes du travail	Dispositions communes	Conditions d'ancienneté		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Versements sur le compte épargne-temps		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Mise en place dans un groupe d'entreprises et dans les entreprises dépourvues d'épargne salariale		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Dépôt et contrôle de l'autorité administrative		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Conseil d'orientation de la participation, de l'intéressement, de l'épargne salariale et de l'actionnariat salarié		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Partage de la valeur en cas d'augmentation exceptionnelle du bénéfice net fiscal		
Relations collectives de travail	Dividendes du travail	Dispositions communes	Avances sur intéressement et participation		
Relations collectives de travail	Dividendes du travail	Intéressement	Champ d'application		
Relations collectives de travail	Dividendes du travail	Intéressement	Mise en place		
Relations collectives de travail	Dividendes du travail	Intéressement	Contenu des accords 		
Relations collectives de travail	Dividendes du travail	Intéressement	Régime des accords 	Dépôt et contrôle administratif	
Relations collectives de travail	Dividendes du travail	Intéressement	Régime des accords 	Modification dans la situation juridique de l'entreprise	
Relations collectives de travail	Dividendes du travail	Intéressement	Information des salariés		
Relations collectives de travail	Dividendes du travail	Intéressement	Calcul, répartition et distribution de l'intéressement	Calcul	
Relations collectives de travail	Dividendes du travail	Intéressement	Calcul, répartition et distribution de l'intéressement	Répartition	
Relations collectives de travail	Dividendes du travail	Intéressement	Calcul, répartition et distribution de l'intéressement	Distribution	
Relations collectives de travail	Dividendes du travail	Intéressement	Régime social et fiscal		
Relations collectives de travail	Dividendes du travail	Participation	Champ d'application		
Relations collectives de travail	Dividendes du travail	Participation	Mise en place de la participation	Mise en place dans l'entreprise	
Relations collectives de travail	Dividendes du travail	Participation	Mise en place de la participation	Mise en place dans la branche	
Relations collectives de travail	Dividendes du travail	Participation	Contenu des accords 		
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Dépôt	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Dispositions applicables en l'absence d'accord	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Participation volontaire	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Participation dans les entreprises agricoles	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Modification dans la situation juridique de l'entreprie	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Sociétés coopératives ouvrières de production, coopératives agricoles et entreprises publiques	
Relations collectives de travail	Dividendes du travail	Participation	Régime des accords 	Dénonciation de l'accord	
Relations collectives de travail	Dividendes du travail	Participation	Information des salariés		
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Calcul de la réserve spéciale de participation	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Répartition de la réserve spéciale de participation	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Evaluation des titres	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Règles de disponibilité des droits des salariés	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Gestion de la réserve spéciale	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Paiement et déblocage anticipé	
Relations collectives de travail	Dividendes du travail	Participation	 Calcul et gestion de la participation	Affectation à un plan d'épargne salariale	
Relations collectives de travail	Dividendes du travail	Participation	Régime social et fiscal		
Relations collectives de travail	Dividendes du travail	Participation	Contestations et sanctions		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Champ d'application		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Conditions de mise en place	Bénéficiaires	
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Conditions de mise en place	Mise en place	
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Conditions de mise en place	Information des salariés	
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Conditions de mise en place	Dépôt	
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Conditions de mise en place	Choix de placement	
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Versements		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Composition et gestion du plan		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Évaluation des titres		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Entreprises solidaires		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Augmentation de capital		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Indisponibilité des sommes, déblocage anticipé et liquidation		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Régime social et fiscal		
Relations collectives de travail	Dividendes du travail	Plan d'épargne d'entreprise	Transfert		
Relations collectives de travail	Dividendes du travail	Plan d'épargne interentreprises			
Relations collectives de travail	Dividendes du travail	Plan d'épargne pour la retraite collectif	Mise en place		
Relations collectives de travail	Dividendes du travail	Plan d'épargne pour la retraite collectif	Versements		
Relations collectives de travail	Dividendes du travail	Plan d'épargne pour la retraite collectif	Composition et gestion du plan		
Relations collectives de travail	Dividendes du travail	Plan d'épargne pour la retraite collectif	Indisponibilité des sommes, déblocage anticipé et liquidation		
Relations collectives de travail	Dividendes du travail	Plan d'épargne pour la retraite collectif	Dispositions d'application		
Relations collectives de travail	Représentation salariale	Champ d'application			
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Critères de représentativité		
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Au niveau de l'entreprise et de l'établissement		
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Au niveau du groupe		
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Au niveau de la branche professionnelle		
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Au niveau national et interprofessionnel		
Relations collectives de travail	Représentation salariale	Représentativité syndicale	Dispositions d'application		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Champ d'application		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Électorat 		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Etablissement de la liste électorale		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Contestations relatives à l'inscription sur les listes électorales		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Candidatures des organisations syndicales de salariés		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Scrutin		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Modalités de vote		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Dépouillement		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Contestations relatives au déroulement des opérations électorales		
Relations collectives de travail	Représentation salariale	Représentativité syndicale dans les entreprises de moins de 11 salariés	Voies de recours		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Objet et constitution		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Capacité civile		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Unions de syndicats		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Certifications et publicité des comptes		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Mise à disposition des salariés auprès des organisations syndicales		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Marques syndicales		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Financement mutualisé		
Relations collectives de travail	Représentation salariale	Statut juridique, ressources et moyens	Dispositions pénales		
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Principes		
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Constitution	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Représentant de la section syndicale	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Cotisations syndicales	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Affichage et diffusion des communications syndicales	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Local syndical	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Section syndicale	Réunions syndicales	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Dispositions complémentaires relatives aux entreprises du secteur public		
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Congés et formation économique, sociale, environnementale et syndicale des salariés appelés à exercer des fonctions syndicales	Formation économique, sociale, environnementale et syndicale	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Congés et formation économique, sociale, environnementale et syndicale des salariés appelés à exercer des fonctions syndicales	 Congés de formation économique, sociale, environnementale et syndicale	
Relations collectives de travail	Représentation salariale	Exercice du droit syndical	Dispositions pénales		
Relations collectives de travail	Représentation salariale	Délégué syndical	Conditions de désignation		
Relations collectives de travail	Représentation salariale	Délégué syndical	Mandat		
Relations collectives de travail	Représentation salariale	Délégué syndical	Exercice des fonctions		
Relations collectives de travail	Représentation salariale	Délégué syndical	Attributions complémentaires dans les entreprises de moins de 300 salariés		
Relations collectives de travail	Représentation salariale	Délégué syndical	Conditions de désignation dérogatoire		
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Champ d'application	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Délégué syndical ou d'un salarié mandaté	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Membre de la délégation du personnel du comité social et économique	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Représentant de proximité	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Membre de la délégation du personnel du comité social et économique interentreprises	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Membre du groupe spécial de négociation ou d'un membre du comité d'entreprise européen	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Membre du groupe spécial de négociation, d'un représentant au comité de la société européenne, d'un représentant au comité de la société coopérative européenne ou d'un représentant au comité de la société issue d'une fusion transfrontalière	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Représentant du personnel d'une entreprise extérieure à la commission santé, sécurité et condition de travail	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Salarié membre d'une commission paritaire d'hygiène, de sécurité et des conditions de travail en agriculture	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Salariés titulaires d'autres mandats de représentation	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Conseiller du salarié	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Conseiller prud'homme	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Assesseur maritime	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Défenseur syndical	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de licenciement	Salarié membre de la commission paritaire régionale interprofessionnelle	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Champ d'application	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Délégué syndical	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre de la délégation du personnel du comité social et économique	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Représentant de proximité	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre de la délégation du personnel du comité social et économique interentreprises	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre du groupe spécial de négociation et membre du comité d'entreprise européen	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre du groupe spécial de négociation et représentant au comité de la société européenne, au comité de la société coopérative européenne ou au comité de la société issue de la fusion transfrontalière	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Représentant du personnel d'une entreprise extérieure à la commission santé, sécurité et conditions de travail	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Salarié membre d'une commission paritaire d'hygiène, de sécurité et des conditions de travail en agriculture	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Salarié mandaté	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre du conseil ou administrateur d'une caisse de sécurité social	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Représentant des salariés dans une chambre d'agriculture	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Conseiller prud'homme	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Assesseur maritime	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Défenseur syndical	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un CDD	Membre de la commission paritaire régionale interprofessionnelle	
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de rupture d'un contrat de travail temporaire		
Relations collectives de travail	Représentation salariale	Salariés protégés	Protection en cas de transfert partiel d'entreprise ou d'établissement		
Relations collectives de travail	Représentation salariale	Salariés protégés	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	Procédure applicable en cas de licenciement	
Relations collectives de travail	Représentation salariale	Salariés protégés	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	Procédure applicable au salarié titulaire d'un contrat de travail à durée déterminée	
Relations collectives de travail	Représentation salariale	Salariés protégés	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	Procédure applicable en cas de transfert partiel d'entreprise ou d'établissement	
Relations collectives de travail	Représentation salariale	Salariés protégés	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	Procédure applicable en cas d'interruption ou de non-renouvellement d'une mission de travail temporaire	
Relations collectives de travail	Représentation salariale	Salariés protégés	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	Procédures d'autorisation applicables à la rupture ou au transfert du contrat	
Relations collectives de travail	Représentation salariale	Salariés protégés	Dispositions pénales		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Critères		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Niveau de représentativité		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Seuil		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Candidature		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Dispositions d'application		
Relations collectives de travail	Représentation salariale	Représentativité patronale	Voies de recours		
Relations collectives de travail	Conflits collectifs	Exercice du droit de grève	Dispositions générales		
Relations collectives de travail	Conflits collectifs	Exercice du droit de grève	Dispositions particulières au service public		
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Dispositions générales		
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Conciliation	Procédure de conciliation	
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Conciliation	Entreprises publiques et établissements publics industriels et commerciaux	
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Médiation	Désignation du médiateur	
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Médiation	Procédure de médiation	
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Arbitrage		
Relations collectives de travail	Conflits collectifs	Procédure de règlement des conflits collectifs	Dispositions pénales		
Relations collectives de travail	Conventions et accords collectifs de travail	Dispositions générales	Champ d'application		
Relations collectives de travail	Conventions et accords collectifs de travail	Dispositions générales	Formation des acteurs de la négociation collective		
Relations collectives de travail	Conventions et accords collectifs de travail	Contenu des conventions et accords collectifs de travail	Objet		
Relations collectives de travail	Conventions et accords collectifs de travail	Contenu des conventions et accords collectifs de travail	Durée		
Relations collectives de travail	Conventions et accords collectifs de travail	Contenu des conventions et accords collectifs de travail	Contenu		
Relations collectives de travail	Conventions et accords collectifs de travail	Application des conventions et accords collectifs	Articulation des conventions et accords		
Relations collectives de travail	Conventions et accords collectifs de travail	Application des conventions et accords collectifs	Conditions d'applicabilité des conventions et accords		
Relations collectives de travail	Conventions et accords collectifs de travail	Application des conventions et accords collectifs	Extension et élargissement des conventions et accords		
Relations collectives de travail	Conventions et accords collectifs de travail	Application des conventions et accords collectifs	Effets de l'application des conventions et accords		
Relations collectives de travail	Conventions et accords collectifs de travail	Application des conventions et accords collectifs	Dispositions pénales		
Relations collectives de travail	Conventions et accords collectifs de travail	Expression directe et collective	Dispositions communes		
Relations collectives de travail	Conventions et accords collectifs de travail	Expression directe et collective	Secteur public		
Relations collectives de travail	Conventions et accords collectifs de travail	Expression directe et collective	Dispositions pénales		
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Ordre public		
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Champ de la négociation collective		
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Dispositions supplétives	Modalités de la négociation	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Dispositions supplétives	Négociation annuelle	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Dispositions supplétives	Négociation triennale	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Dispositions supplétives	Négociation quinquennale	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation de branche et professionnelle	Dispositions supplétives	Dispositions communes à la négociation annuelle et à la négociation quinquennale	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Ordre public	Dispositions communes	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Ordre public	Rémunération	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Ordre public	Egalité professionnelle entre les femmes et les hommes	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Champ de la négociation collective		
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Dispositions supplétives	Modalités de la négociation obligatoire	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Dispositions supplétives	Négociation sur la rémunération, le temps de travail et le partage de la valeur ajoutée	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Dispositions supplétives	Egalité professionnelle entre les femmes et les hommes et qualité de vie et des conditions de travail	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Négociation obligatoire en entreprise	Dispositions supplétives	Gestion des emplois et des parcours professionnels	
Relations collectives de travail	Domaines et périodicité de la négociation obligatoire	Dispositions pénales			
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Conditions de validité	Capacité à négocier		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Conditions de validité	Conditions de forme		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Conditions de validité	Notification, publicité et dépôt		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Conditions de validité	Opposition		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles applicables à chaque niveau de négociation	Accords interprofessionnels		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles applicables à chaque niveau de négociation	Conventions de branche et accords professionnels 		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles applicables à chaque niveau de négociation	Accords d'entreprise ou d'établissement		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles applicables à chaque niveau de négociation	Conventions ou accords de groupe		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles applicables à chaque niveau de négociation	Accords interentreprises		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Dispositions communes		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises avec délégué syndical		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises sans délégué syndical	Dispositions communes	
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises sans délégué syndical	Entreprises dont l'effectif habituel est inférieur à 11 salariés	
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises sans délégué syndical	Entreprises dont l'effectif habituel est compris entre 11  et 50  salariés	
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises sans délégué syndical	Entreprises dont l'effectif habituel est au moins égal à 50 salariés	
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Entreprises sans délégué syndical	Entreprises dépourvues de délégué syndical ou de conseil d'entreprise	
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Règles spécifiques aux accords d'entreprise ou d'établissement	Décrets temporaires		
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Conventions et accords de travail conclus dans le secteur public			
Relations collectives de travail	Conditions de négociation et de conclusion des conventions et accords collectifs de travail	Organismes spécifiques	Commissions paritaires locales		
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Champ d'application		
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Organisations représentant les travailleurs indépendants recourant aux plateformes	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Représentativité des organisations	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Mesure de l'audience	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Désignation des représentants	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Protection des représentants	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Représentation des travailleurs indépendants recourant aux plateformes	Formation et temps de délégation des représentants	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Champ d'application et objet des accords collectifs de secteur	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Conditions de négociation et de conclusion des accords collectifs de secteur	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Négociation obligatoire et facultative, calendrier et méthode de négociation	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Effets des accords collectifs de secteur	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Publicité et dépôt des accords de secteur	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Information et communication	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Homologuation	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Application, révision et dénonciation des accords collectifs	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du dialogue social et de la négociation de secteur	Commission de négociation	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Expertise	Dispositions législatives générales	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Expertise	Instruction de la demande d'expertise	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Expertise	Expert	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Expertise	Déroulement de la mission d'expertise	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du scrutin servant à mesurer l'audience des organisations représentant les travailleurs des plateformes	Candidatures des organisations syndicales et des associations	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Dialogue social de secteur	Organisation du scrutin servant à mesurer l'audience des organisations représentant les travailleurs des plateformes	Commission des opérations de vote	
Relations collectives de travail	Dispositions particulières aux travailleurs utilisant une plateforme de mise en relation par voie électronique	Autorité des relations sociales des plateformes d'emploi	Collecte de données		
